
                           PyRate - 20170222

           Bayesian estimation of speciation and extinction
                  rates from fossil occurrence data        

               Daniele Silvestro, Jan Schnitzler et al.
                        pyrate.help@gmail.com




The analysis includes 3215 species (0 were excluded)
Using Gamma priors on the birth-death rates (G_l[1.1,1.1], G_m[1.1,1.1]).


DATA SUMMARY

3215 species included in the data set
2580 species have a single occurrence, 44 species are extant
4828 fossil occurrences (1 replicates), ranging from 307.605 (+/- 0.0) to 0.001 (+/- 0.0) Ma

Taxon	FA	LA
Coreites_crassus	11.701	11.701	
Coreites_dubius	2.67	2.67	
Coreites_oblongus	12.133	12.133	
Coreites_redemtus	12.565	12.565	
Coreoidea	148.434	121.983	
Coreus_serresi	26.972	26.972	
Corienta_transbaicalica	124.234	114.45	
Corioides_fortus	122.463	122.463	
Corioides_longus	117.214	117.214	
Coriopachys	113.908	113.908	
Coriopachys_minor	119.001	119.001	
Coriopachys_parvus	118.879	118.879	
Corixa	26.941	0.106	
Corixa_parvoculata	14.753	14.753	
Corixa_triquetra	13.644	13.644	
Corixalia_gutta	118.856	118.856	
Corixidae	43.26	0.097	
Corixinae	22.328	5.336	
Corixonecta_hosbayari	124.494	113.237	
Corixopsis_tuanwangensis	124.81	124.81	
Corizites_darbiensis	121.144	121.144	
Corizus_abditivus	34.826	34.826	
Corizus_celatus	36.879	36.879	
Corizus_deflagratus	57.219	57.219	
Corizus_guttatus	49.656	47.481	
Corizus_somnurnus	36.315	36.315	
Corollpachymeridium_heteroneurus	161.118	161.118	
Corrivalius_perbonus	130.205	130.205	
Corynecoris_occultatus	182.224	182.224	
Coryphocorixa_zhangi	149.944	145.38	
Cotradechites_lithinus	56.405	56.405	
Crassicerus_furtivus	127.695	127.695	
Crassicerus_limpiduspterus	127.292	126.234	
Cratocora_crassa	121.642	121.642	
Cratocoris_shevchenkoae	115.162	115.162	
Cratocossus_magnus	121.967	121.967	
Cratonepa_enigmatica	120.495	114.248	
Cratonerthra_corinthiana	117.06	117.06	
Cratonerthra_estevezae	117.817	117.817	
Cratopelocoris_carpinteroi	115.543	115.543	
Creaphis_theodora	234.699	234.699	
Cretacallis_polysensoria	120.768	120.768	
Cretaceometra_brasiliensis	119.765	114.802	
Cretaceomira_phalanx	79.959	79.959	
Cretacoris_gurvanicus	120.483	120.483	
Cretacoris_scutellinus	131.042	131.042	
Cretamiris_zherikhini	72.077	72.077	
Cretamyzus_pikei	77.738	77.738	
Cretargus_emeljanovi	85.601	84.351	
Cretocercopis_yii	118.408	118.408	
Cretocixius_stigmatosus	119.445	119.445	
Cretofennahia_cretacea	118.877	118.877	
Cretogerris_albianus	101.123	101.123	
Cretopiesma_suukyiae	98.926	98.926	
Cretorthezia	125.476	125.476	
Cretorthezia_hammanaica	126.406	126.406	
Cricocossus_paradoxus	161.744	161.744	
Cristocorixa_dalaziensis	122.942	122.942	
Cristocorixa_diaprepocoroides	124.365	113.132	
Cristocorixa_gurvanica	124.108	115.143	
Cristocorixa_similis	122.155	122.155	
Crocistethus_madens	27.01	27.01	
Crosbella_alata	210.17	210.17	
Crosbella_elongata	225.574	225.574	
Crypsacorixa_tachis	213.662	213.662	
Cryptochromus_letatus	34.711	34.711	
Ctereacoris_primigenus	35.578	35.578	
Cuanoma_protracta	236.367	231.392	
Cuneocoris_geinitzi	182.271	182.271	
Curticerus_venustus	129.401	129.401	
Curvicaudus_ciliatus	126.712	126.712	
Curvicaudus_spinosus	129.848	129.766	
Curvicubitus_triassicus	240.015	240.015	
Cutitegmena_oonis	211.391	211.391	
Cyamophila_longifurca	15.812	13.053	
Cycloscytina	185.658	185.658	
Cycloscytina_asiatica	187.418	182.911	
Cycloscytina_delutinervis	159.663	158.091	
Cycloscytina_extensa	186.947	184.429	
Cycloscytina_fulgoroides	199.94	198.763	
Cycloscytina_gobiensis	168.931	168.931	
Cycloscytina_korlaensis	168.783	168.783	
Cycloscytina_plachutai	190.304	190.304	
Cydamus_robustus	35.774	35.774	
Cydnavites	54.165	54.165	
Cydnavites_infidis	122.196	122.196	
Cydnidae	53.255	22.198	
Cydnopsis_coleopteroides	11.889	11.889	
Cydnopsis_dangeardi	27.484	27.484	
Cydnopsis_deleta	12.61	12.089	
Cydnopsis_exilis	12.487	12.487	
Cydnopsis_haidingeri	28.624	11.839	
Cydnopsis_handlirschi	46.644	46.644	
Cydnopsis_meunieri	41.82	41.82	
Cydnopsis_nana	42.929	42.929	
Cydnopsis_pygmaea	24.26	3.345	
Cydnopsis_scutellaris	11.806	2.667	
Cydnus	30.65	30.65	
Cydnus_acriscutatus	30.605	30.605	
Cydnus_archaicus	30.999	27.512	
Cydnus_armiger	33.343	31.04	
Cydnus_atavinus	31.123	12.69	
Cydnus_brevicollis	33.549	12.276	
Cydnus_brevicrassus	32.66	30.367	
Cydnus_cinctus	32.686	32.686	
Cydnus_cristatus	28.625	28.625	
Cydnus_dignus	32.119	29.093	
Cydnus_heeri	26.415	25.33	
Cydnus_maximus	30.415	30.415	
Cydnus_meunieri	27.431	25.582	
Cydnus_oeningensis	11.716	11.716	
Cydnus_parvus	28.636	28.636	
Cydnus_picatus	25.123	25.123	
Cydnus_pygmaeus	29.995	28.535	
Cydnus_sagittifer	33.268	11.614	
Cydnus_solutus	32.342	28.554	
Cydnus_tertiarius	33.625	11.756	
Cylapinae	106.768	106.768	
Cylapopsallops_kerzhneri	34.891	34.891	
Cylindrobates_messelensis	47.299	45.782	
Cylindrostethus_gaudanti	57.812	56.333	
Cyllonium_boisduvalianum	140.166	140.166	
Cyllonium_hewitsonianum	140.831	140.831	
Cymocoris_basalis	113.867	113.867	
Cymocoris_humeralis	123.571	123.571	
Cyrtomenus_concinnus	47.447	47.447	
Cysteochila_copal	0.009	0.009	
Cysteochila_impressa	0.006	0.006	extant
Daclera	24.186	24.186	
Daclera_naturalis	25.277	23.037	
Daenerys	141.044	141.044	
Daenerys_khaleesi	143.403	143.403	
Dallasiellus_(Dallasiellus)_succineus	16.026	16.026	
Daniavelia_morsensis	53.908	53.908	
Danzigia_christelae	35.669	35.669	
Daoaphis_magnalata	160.561	160.561	
Daohugocorixa_vulcanica	164.478	164.478	
Daohugoucossus_lii	157.394	157.394	
Daohugoucossus_parallelivenius	162.697	162.697	
Daohugoucossus_shii	162.055	162.055	
Daohugoucossus_solutus	161.461	161.461	
Darniopsis_tragopea	193.152	193.152	
Dataiphis_coniferis	126.719	126.719	
Davispia_bearcreekensis	58.45	58.45	
Dawsonites_veter	55.289	55.289	
Dellashara_tega	150.915	150.915	
Delphacidae	3.813	3.813	
Delphax_rhenana	24.05	24.05	
Delphax_senilis	48.2	46.543	
Delphax_veterum	49.381	49.381	
Deltocephalinae	11.784	2.912	
Deltocephalus_aberrans	26.878	26.878	
Deltocephalus_maculipennis	26.006	26.006	
Deltocephalus_maculosus	25.19	25.19	
Deltocephalus_minutulus	33.554	33.554	
Deltocephalus_nervosus	25.244	25.244	
Deltocephalus_ocellaris	0.085	0.085	extant
Deltocephalus_pennatus	26.059	26.059	
Deltocephalus_robustus	23.211	23.211	
Deltocephalus_rottensis	24.168	24.168	
Deltocephalus_spinitibialis	23.366	23.366	
Deraeocoris_balticus	36.135	36.135	
Deraiocoris_insculptus	182.648	182.648	
Derephysia_penalveri	17.643	17.643	
Derephysia_tyche	26.833	26.833	
Deryeuma_primordialis	58.7	58.7	
Detyopsis_packardi	48.365	48.365	
Detyopsis_scudderi	46.396	46.396	
Diacorixa_germanica	15.842	15.044	
Diacorixa_miocaenica	15.057	15.057	
Diapherinus_fontinalis	121.109	121.109	
Diapherinus_ornatipennis	124.015	113.943	
Diaplegma_abductum	37.162	37.162	
Diaplegma_haldemani	34.81	34.81	
Diaplegma_obdormitum	47.949	47.949	
Diaplegma_occultorum	34.656	34.656	
Diaplegma_ruinosum	35.48	35.48	
Diaplegma_venerabile	36.672	36.672	
Diaplegma_veterascens	36.724	36.724	
Diaspididae	105.003	66.766	
Diatomyzus_eocaenicus	53.521	53.521	
Diclidophlebia_subita	15.114	15.114	
Dictyla_novaki	16.877	16.877	
Dictyla_veterana	36.599	36.599	
Dictyla_wollastoni	11.893	11.893	
Dictyonota_petrifacta	24.679	24.679	
Dictyophara	13.141	13.141	
Dictyophara_bouvei	36.684	36.684	
Dictyophara_scudderi	57.808	57.808	
Dictyophorites_tingitinus	11.739	11.739	
Dictyoprosbole_membranosa	255.875	255.875	
Dicyphus_rubusensis	16.506	16.349	
Dilaropsis_ornatus	49.492	49.492	
Dimeropterum_westwoodi	144.699	144.699	
Dinaphis_multisensoriata	119.704	116.807	
Dinidorini	26.839	25.789	
Dinidorites_margiformis	49.63	46.248	
Diniella_fasciata	30.7	26.997	
Dinoscyta_microcephala	278.399	278.399	
Diphleps_yenli	19.29	19.016	
Diphtheropsis	196.573	196.573	
Diphtheropsis_incerta	190.081	190.081	
Discocoris_dominicanus	19.547	19.547	
Disivicia_tianshanensis	227.34	227.34	
Disphaerocephalus_constrictus	99.313	99.313	
Disphaerocephalus_macropterus	96.654	96.654	
Disphaerocephalus_swinhoei	95.6	95.6	
Docimus_psylloides	36.095	36.095	
Dominicaphis_succini	15.138	15.138	
Dominicicada_youngi	19.817	19.817	
Dongbeiaphis_furvis	51.766	51.766	
Doryderes_laticollis	56.098	56.098	
Doryscarta_xialiaoensis	206.952	206.952	
Dracaphis_angustata	237.925	237.925	
Draycotia_cordovae	0.099	0.099	
Drepanochaitophorus_fushunensis	48.127	48.127	
Drepanosiphinae	33.948	33.948	
Drymus_punctatus	27.931	27.931	
Dubiaphis_curvata	243.685	243.685	
Duncanovelia_extensa	118.634	118.634	
Dunstania_petrophila	236.834	236.834	
Dunstania_pulchra	215.256	215.256	
Dunstaniidae	212.953	212.953	
Dunstaniodes_elongatus	231.06	231.06	
Dunstaniopsis_triassica	208.583	208.583	
Duraznoscarta_ramosa	235.105	235.105	
Dysdercus_cinctus	34.6	34.6	
Dysdercus_unicolor	34.111	34.111	
Dysimia_imprudens	15.732	15.732	
Dysmorphoptila_liasina	204.103	204.103	
Dysmorphoptila_notodon	166.294	166.294	
Dysmorphoptiloides_ellisi	246.038	246.038	
Dysmorphoptiloides_elongata	225.92	213.301	
Dysmorphoscartella_lobata	253.389	252.823	
Dytoscytina_ejuncida	201.808	201.808	
Ebboa_areolata	100.158	96.283	
Echinaphis_rohweri	36.87	36.87	
Edessa_protera	14.655	14.655	
Elasmoscelidium_boreale	182.512	182.239	
Elasmoscelidium_promotum	182.233	182.233	
Elasmoscelidium_rectemarginatum	182.157	182.157	
Elasmoscelidium_rotundatum	160.745	160.745	
Elasmoscelidium_venulosum	182.254	182.254	
Elasmucha	14.04	1.952	
Electrobates_spinipes	18.63	14.331	
Electrocallis	36.053	36.053	
Electrocallis_arnoldii	35.482	35.482	
Electrocallis_bakeri	36.799	34.13	
Electrocallis_scudderi	36.42	36.42	
Electrococcus_canadensis	71.472	71.472	
Electrocoris_brunneus	35.18	35.18	
Electrocoris_pubescens	34.264	34.264	
Electrocornia_antiqua	34.884	34.884	
Electrogerris	34.49	34.49	
Electrogerris_kotashevichi	35.124	34.425	
Electroisops_ritzkowskii	34.173	34.173	
Electromyiomma_polonicum	37.583	37.583	
Electromyiomma_schultzi	35.333	35.333	
Electromyiomma_weitschati	34.61	34.61	
Electromyrmococcus_abductus	18.171	18.171	
Electromyrmococcus_inclusus	20.009	20.009	
Electromyrmococcus_reginae	19.687	19.687	
Electromyzus_acutirostris	34.151	34.151	
Electrovelia_baltica	36.084	35.785	
Elektraphididae	33.937	33.937	
Elidiptera_regularis	34.129	34.129	
Elkinda_hecatoneura	125.145	125.145	
Ellenbergeria_oviventris	98.262	98.262	
Ellinaphidinae	124.541	113.831	
Ellinaphis	119.075	113.722	
Ellinaphis_bulla	124.918	115.458	
Ellinaphis_cubocrassa	124.973	114.769	
Ellinaphis_curta	124.19	114.638	
Ellinaphis_elegans	124.736	119.189	
Ellinaphis_eserta	123.235	116.838	
Ellinaphis_extenda	122.552	115.167	
Ellinaphis_incognita	122.788	114.463	
Ellinaphis_longistigma	123.311	113.126	
Ellinaphis_mediata	122.717	122.717	
Ellinaphis_mirabila	123.359	113.94	
Ellinaphis_premordica	120.083	118.731	
Ellinaphis_sensoriata	123.336	113.42	
Ellinaphis_stricta	114.21	114.21	
Ellinaphis_truncata	124.395	113.159	
Elliptoscarta_ovalis	254.085	254.085	
Emeljanovedusa_gentarna	34.872	34.557	
Emesites_voigti	18.632	18.632	
Emesopsis_putshkovi	34.473	34.473	
Emesopsis_similis	36.139	36.139	
Emiliana_alexandri	47.122	47.122	
Emilianovelia	103.195	103.195	
Emilianovelia_audax	100.899	100.899	
Empicoris_copal	0.008	0.008	
Empicoris_electricus	16.674	16.674	
Empiploiariola_inermis	13.844	13.844	
Enchophora	52.059	52.059	
Engerrophorus_nitidus	182.548	182.548	
Engynabis_tenuis	182.475	182.475	
Enicocephalidae	0.01	0.01	
Enicocephalinus_acragrimaldii	126.995	126.995	
Enicocephalomorpha	129.632	129.632	
Enicocephalus_omen	17.8	17.8	
Enicocephalus_prius	17.713	17.713	
Enicocephalus_seniculus	18.9	17.903	
Enicocephalus_subvitreus	19.176	19.176	
Enicocorinae	148.964	140.495	
Enithares_bohemica	22.422	22.422	
Ensphingocoris_parvulus	182.133	182.133	
Entomecoris_major	182.821	182.821	
Entomecoris_minor	182.974	182.974	
Entomecoris_morator	182.903	182.903	
Eoanthocoris_cretaceus	122.523	122.523	
Eoanthocoris_ghidarinus	117.045	117.045	
Eobladina_antiqua	46.701	46.701	
Eocader_babyrussus	18.162	16.144	
Eocallites_mallicaudatus	48.619	48.619	
Eocenometra_danica	48.333	48.333	
Eocenometra_longicornis	54.491	54.491	
Eocercopidium_maculata	56.53	56.53	
Eocercopis_ancyloptera	182.138	182.138	
Eocercopis_ovalis	182.945	182.945	
Eocercopis_similis	182.966	182.966	
Eochiliocycla_angusta	252.71	252.71	
Eocicada_microcephala	150.797	147.515	
Eocylindrites_curtirostrales	50.356	50.356	
Eofulgorella_bradburyi	48.039	48.039	
Eofulgoridium_chanmaense	124.269	124.269	
Eofulgoridium_kisylkiense	183.623	183.623	
Eofulgoridium_proximum	187.02	187.02	
Eofulgoridium_tenellum	179.223	179.223	
Eogerridium_gracile	182.403	182.403	
Eogyropsylla	34.1	34.1	
Eogyropsylla_eocenica	37.302	34.28	
Eogyropsylla_jantaria	37.872	36.176	
Eogyropsylla_magna	36.457	36.457	
Eogyropsylla_parva	35.702	35.702	
Eogyropsylla_paveloctogenarius	46.003	46.003	
Eogyropsylla_sedzimiri	37.713	37.713	
Eoiocossus_validus	163.32	163.32	
Eoliarus_lutensis	47.668	47.668	
Eoliarus_quadristictus	50.068	50.068	
Eomakrosoura_expansirostrata	51.961	51.961	
Eomatsucoccus_andrewi	134.097	134.097	
Eomatsucoccus_casei	93.654	93.654	
Eomatsucoccus_popovi	118.003	116.49	
Eomatsucoccus_sukachevae	118.363	118.363	
Eomegophthalmus_lithuaniensis	34.682	34.682	
Eomileewa_eridani	36.078	36.078	
Eoperlites_paradoxus	45.487	45.487	
Eophloemyzus_longitarsus	50.848	50.848	
Eopiesma_trimerum	54.462	54.462	
Eopsyllidium_davisi	253.395	253.395	
Eopsyllidium_delicatulum	253.206	252.808	
Eoricania_danica	52.366	52.366	
Eosaldina_apomorpha	140.135	140.135	
Eoscartarellidae	253.436	252.287	
Eoscarterella_media	222.881	208.856	
Eoscartoides_bryani	219.554	208.569	
Eoscartoides_dmitryi	226.4	220.906	
Eoscartoides_orthocladus	215.84	215.84	
Eoscytina_incompleta	252.949	252.949	
Eoscytina_migdisovae	252.881	252.881	
Eotettigarcta_scotica	57.594	57.594	
Eothes_elegans	34.541	34.541	
Eotingis_antennata	35.071	35.071	
Epigonomiris_skalskii	36.315	36.315	
Epigonopsallops_groehni	37.781	37.781	
Eriococcidae	91.118	91.118	
Eriosaphis_leei	15.749	15.749	
Eriosoma	6.973	6.973	
Eriosoma_meunieri	25.382	25.382	
Eriosomaphis_jesperi	14.103	14.103	
Eriosomaphis_occidentalis	13.817	13.817	
Eriosomatinae	37.584	37.584	
Etirocoris_infernalis	36.153	36.153	
Euacanthus_bellus	27.165	27.165	
Eucanyra	22.504	22.504	
Eucorites_serescens	35.045	35.045	
Eupincombea_postica	252.881	252.881	
Eupteryx	15.145	15.145	
Euraspidium_granulosum	182.055	182.055	
Euroscytina_lutevanorum	275.322	275.322	
Euryconus_muta	14.144	14.144	
Euryconus_soriae	19.097	19.097	
Eurydema_arcuata	12.648	12.648	
Eurydema_brevicollis	11.627	2.624	
Eurydema_effossa	12.698	12.698	
Eurydema_impudica	23.182	11.662	
Eurydema_retrorsum	33.316	29.348	
Eurygaster	33.34	23.965	
Eurygaster_granulosus	31.633	28.839	
Eurymelidium_australe	225.297	218.161	
Eurynotis_incisus	182.256	182.256	
Eusarcoris_(Rhacognathus)_punctatus	2.18	2.015	extant
Eusarcoris_humilis	33.63	33.63	
Eusarcoris_mammillata	32.377	31.842	
Eusarcoris_nuda	31.218	30.161	
Eusarcoris_pinguis	32.298	11.786	
Eusarcoris_prodromus	29.103	12.529	
Eusarcoris_shimozukensis	0.645	0.645	
Euscelis	19.705	19.705	
Euscelis_palmeri	16.675	16.675	
Euscelis_plateosus	23.937	23.937	
Eutrichosiphum_europaeum	19.253	15.543	
Evagoras_impressus	12.065	12.065	
Evanscicada_dictyoptera	270.649	270.649	
Evanscicada_praelonga	271.774	271.774	
Evanscicada_rectimarginata	271.689	271.689	
Evanscicada_speciosa	269.171	269.171	
Exilcrus_cameriferus	128.834	127.404	
Exitelus_exsanguis	35.953	35.953	
Exmesselensis_disspinosus	46.884	46.884	
Expansaphis_laticosta	119.862	119.862	
Expansaphis_ovata	117.429	117.429	
Falcarta_bella	235.745	230.971	
Fasolinka_beckermigdisovae	233.553	228.307	
Fenghuangor_imperator	163.488	163.488	
Ficarasites_stigmaticum	48.918	48.918	
Flatidae	18.482	16.34	
Fletcheriana_jurassica	193.367	193.367	
Fletcheriana_magna	229.951	229.951	
Fletcheriana_triassica	242.483	209.009	
Flexicorpus_acutirostratus	129.778	123.829	
Floricaudus_multilocellus	126.981	126.257	
Florissantia_elegans	37.153	33.981	
Fonsecacicada_mineira	35.622	35.622	
Fossilicallis_antiquus	27.389	27.389	
Foveopsis_fennahi	94.9	94.9	
Fulgobole_evansi	232.195	228.05	
Fulgora_granulosa	46.537	46.537	
Fulgora_obticescens	36.575	36.575	
Fulgora_populata	47.028	47.028	
Fulgoridae	42.467	42.467	
Fulgoridiella_raetica	193.739	193.739	
Fulgoridium	182.492	158.745	
Fulgoridium_(Compactofulgoridium)_aries	182.247	182.247	
Fulgoridium_(Compactofulgoridium)_concameratum	182.252	182.252	
Fulgoridium_(Compactofulgoridium)_decapitatum	182.313	182.313	
Fulgoridium_(Compactofulgoridium)_fronterotundum	182.653	182.653	
Fulgoridium_(Compactofulgoridium)_obesum	182.249	182.249	
Fulgoridium_(Compactofulgoridium)_paenintegrum	182.981	182.981	
Fulgoridium_(Compactofulgoridium)_spoliatum	182.642	182.642	
Fulgoridium_(Conofulgoridium)_antennatum	182.571	182.571	
Fulgoridium_(Metafulgoridium)_praetruncatum	182.182	182.182	
Fulgoridium_(Metafulgoridium)_spatulaeforme	182.49	182.49	
Fulgoridium_(Procerofulgoridium)_planedorsatum	182.859	182.859	
Fulgoridium_(Procerofulgoridium)_praefastigatum	182.458	182.458	
Fulgoridium_(Procerofulgoridium)_verticillatum	182.431	182.376	
Fulgoridium_(Productofulgoridium)_filiferum	182.729	182.729	
Fulgoridium_(Productofulgoridium)_incisum	182.161	182.161	
Fulgoridium_(Productofulgoridium)_praeacutum	182.947	182.947	
Fulgoridium_acutum	182.061	182.061	
Fulgoridium_alatum	182.076	182.076	
Fulgoridium_ampliatum	182.826	182.826	
Fulgoridium_anale	182.399	182.399	
Fulgoridium_ancylla	182.986	182.986	
Fulgoridium_angulosum	182.561	182.561	
Fulgoridium_anomalum	182.69	182.69	
Fulgoridium_balticum	182.901	182.153	
Fulgoridium_basilaesum	182.021	182.021	
Fulgoridium_bifurcatum	182.065	182.065	
Fulgoridium_bodei	182.966	182.966	
Fulgoridium_brachyptilum	182.999	182.999	
Fulgoridium_breve	182.391	182.391	
Fulgoridium_breviradiatum	182.731	182.731	
Fulgoridium_brunsvicense	182.727	182.727	
Fulgoridium_clavatum	182.5	182.5	
Fulgoridium_cubitofurcatum	182.913	182.913	
Fulgoridium_cubitoramosum	182.361	182.361	
Fulgoridium_cuneiforme	182.514	182.514	
Fulgoridium_curvipenne	182.477	182.477	
Fulgoridium_debile	182.686	182.686	
Fulgoridium_defunctum	182.27	182.27	
Fulgoridium_dilutum	182.236	182.236	
Fulgoridium_dubium	182.603	182.603	
Fulgoridium_elegantulum	182.42	182.42	
Fulgoridium_exhumatum	182.93	182.93	
Fulgoridium_exiguemaculatum	182.731	182.731	
Fulgoridium_fabri	182.377	182.377	
Fulgoridium_fallerslebense	182.88	182.88	
Fulgoridium_fenestratum	182.566	182.566	
Fulgoridium_fractum	182.513	182.513	
Fulgoridium_geinitzi	182.193	182.193	
Fulgoridium_germanicum	181.916	181.916	
Fulgoridium_gottingense	182.998	182.998	
Fulgoridium_graphipterum	182.3	182.3	
Fulgoridium_grave	182.969	182.969	
Fulgoridium_hattorfense	182.768	182.768	
Fulgoridium_hildesheimense	182.617	182.617	
Fulgoridium_hondelanum	182.19	182.19	
Fulgoridium_inaequale	182.93	182.93	
Fulgoridium_incertecoloratum	182.621	182.621	
Fulgoridium_inconspicuum	182.289	182.289	
Fulgoridium_incurvatum	182.525	182.525	
Fulgoridium_infuscatum	182.727	182.727	
Fulgoridium_intercalatum	182.693	182.693	
Fulgoridium_lapideum	182.632	182.632	
Fulgoridium_latius	182.787	182.787	
Fulgoridium_latum	182.377	182.377	
Fulgoridium_liadis	182.434	182.434	
Fulgoridium_litorale	182.436	182.436	
Fulgoridium_mancomarginatum	182.147	182.147	
Fulgoridium_marginepunctatum	182.214	182.214	
Fulgoridium_megapolitanum	182.219	182.219	
Fulgoridium_modestum	182.327	182.327	
Fulgoridium_mortuum	182.019	182.019	
Fulgoridium_multipunctatum	182.275	182.275	
Fulgoridium_multivenosum	182.804	182.804	
Fulgoridium_nebulosum	182.355	182.355	
Fulgoridium_nodosum	182.69	182.69	
Fulgoridium_nubeculum	182.697	182.697	
Fulgoridium_obtusum	182.619	182.619	
Fulgoridium_oligoneurum	182.54	182.54	
Fulgoridium_oligospilum	182.413	182.413	
Fulgoridium_pallidum	182.842	182.842	
Fulgoridium_parvispilum	182.342	182.342	
Fulgoridium_paulodilatatum	182.057	182.057	
Fulgoridium_picturatum	182.623	182.623	
Fulgoridium_plicatum	182.39	182.39	
Fulgoridium_polyneurum	182.735	182.735	
Fulgoridium_posidonicum	182.862	182.862	
Fulgoridium_praeobtusum	182.17	182.17	
Fulgoridium_pulchrum	182.721	182.721	
Fulgoridium_punctatum	182.143	182.143	
Fulgoridium_quadrisignatum	182.306	182.306	
Fulgoridium_radioramosum	182.015	182.015	
Fulgoridium_raromaculatum	182.636	182.636	
Fulgoridium_reduncum	182.227	182.227	
Fulgoridium_regulare	182.566	182.566	
Fulgoridium_remotum	182.624	182.624	
Fulgoridium_retractum	182.207	182.207	
Fulgoridium_rotundatum	182.83	182.208	
Fulgoridium_semiperspicuum	182.087	182.087	
Fulgoridium_silvaticum	182.356	182.206	
Fulgoridium_spilographum	182.118	182.118	
Fulgoridium_stigmaticum	182.606	182.606	
Fulgoridium_symmetricum	182.734	182.734	
Fulgoridium_tenuimaculatum	182.932	182.932	
Fulgoridium_trifurcatum	182.803	182.803	
Fulgoridium_venosum	182.694	182.694	
Fulgoridium_vicinum	182.12	182.12	
Fulgoridium_violatum	182.112	182.112	
Fulgoridulum	182.819	182.819	
Fulgoridulum_egens	182.784	182.142	
Fulgoringruo_kukalovae	275.163	275.163	
Fulgoroidea	211.539	0.009	
Fulviocylapus_gorczycai	35.368	34.22	
Furcascytina_radia	254.382	254.382	
Furvaphis_oblonga	49.584	49.584	
Fuscus_faecatus	36.495	36.495	
Fushunimiris_eocenica	55.88	55.88	
Fushunocallites_wanghuacunensis	49.336	49.336	
Galerucites_carinata	149.987	149.987	
Gallegomorphoptila_acostai	231.15	230.148	
Gallegomorphoptila_breviptera	229.715	229.715	
Gallegomorphoptila_gigantea	233.391	233.391	
Gallegomorphoptila_kotejai	231.825	231.825	
Gallegomorphoptila_pulcherrima	230.829	230.829	
Gallodunstania_grauvogeli	246.274	246.274	
Gallomesovelia_grioti	154.464	154.464	
Gansucossus_luanpingensis	161.617	161.617	
Gansucossus_pectinatus	172.269	172.269	
Gansucossus_typicus	164.348	164.348	
Gapenus_rhinariatus	128.841	128.841	
Gazimuria_scutellata	148.019	148.019	
Gedanicoccus_gracilis	35.093	34.037	
Gelastocoridae	120.78	120.78	
Gelastocoris_curiosus	96.659	96.659	
Genaphis_valdensis	141.11	141.11	
Geocoris_infernorum	34.338	34.338	
Geocoris_monserrati	25.292	25.292	
Geocorisae	125.798	125.798	
Geranchon_davisii	35.412	35.412	
Geranchon_petrorum	33.541	33.541	
Germaraphis	37.838	35.023	
Germaraphis_(Balticorostrum)_cuneata	37.05	34.49	
Germaraphis_(Balticorostrum)_megarostris	36.11	36.11	
Germaraphis_(Balticorostrum)_oblonga	37.902	35.255	
Germaraphis_(Germaraphis)_baltica	36.285	35.705	
Germaraphis_(Germaraphis)_berendti	34.619	34.174	
Germaraphis_(Germaraphis)_defuncta	36.852	36.852	
Germaraphis_(Germaraphis)_dryoides	37.526	35.87	
Germaraphis_(Germaraphis)_henningseni	34.03	34.03	
Germaraphis_(Germaraphis)_ipseni	37.051	34.968	
Germaraphis_(Germaraphis)_longula	37.253	37.253	
Germaraphis_(Germaraphis)_oculata	37.742	34.611	
Germaraphis_(Germaraphis)_rostrata	34.772	34.772	
Germaraphis_(Henningsenia)_ungulata	36.8	35.088	
Germaraphis_dryoides	36.925	34.961	
Germaraphis_paradryoides	37.838	37.838	
Germarofulvius_raptorius	37.431	37.431	
Gerridae	51.935	31.257	
Gerrinae	33.44	33.44	
Gerris	42.736	0.118	
Gesaris_gnapo	64.11	64.11	
Gilderius_eukrinops	99.277	99.277	
Giselia_multifurcata	45.671	45.671	
Giselia_scalaris	45.781	45.781	
Gitava_fusca	0.002	0.002	extant
Glaesaricallis_kulickae	37.92	37.92	
Glisachaemus_jonasdamzeni	37.207	37.207	
Golmonia	116.673	116.673	
Golmonia_pater	115.118	115.118	
Gondvanoaphis_estephani	127.995	127.995	
Gondwanaptera_capsii	276.839	276.839	
Gonocerus_shandongensis	12.595	12.595	
Gracilinervia_mastigimatoides	164.074	164.074	
Grandicaputus_bipunctatus	157.69	157.69	
Granulus_tongchuanensis	238.175	238.175	
Graptopsaltria	3.119	3.119	
Graptopsaltria_inaba	6.768	6.768	
Grassyaphis_pikei	75.525	75.525	
Greenidea_hispanica	16.689	15.973	
Greenidea_longicornis	36.951	36.951	
Greenidea_macrostyla	11.759	11.759	
Greenidea_morloti	12.571	12.108	
Greenidea_pallescens	12.447	11.922	
Greenideoida_(Pentatrichosiphum)_turolensis	19.849	17.96	
Grimaldiella	93.667	93.667	
Grimaldiella_gregaria	91.86	91.86	
Grimaldiella_resinophila	89.937	89.937	
Grimaldinia_pronotalis	96.904	96.904	
Grimmenaphis_magnifica	182.853	182.853	
Grohnus_eichmanni	37.441	34.904	
Gualoscytina_mayae	234.488	234.488	
Gurvanina_inepta	124.644	115.691	
Gyaclavator_kohlsi	50.228	49.272	
Gypona_cinercia	36.209	36.209	
Gyponites_abdominalis	27.718	27.718	
Gyponites_pronota	28.303	28.303	
Hadrocoris_scutellaris	182.542	182.542	
